baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
5368.64,0.148888,100,1157.06,4,1704.09,0.149678,20.0357,241.202,4,568.346,0.116146,0.142857,9.534,4,812.296,0.15214,1.04663,18.676,4,1133.91,0,0.662698,7.12733,3,998.948,0.149458,3.58929,65.2968,4,
6706.93,0.286233,100,1150.44,5,2197.87,0.287009,20.0357,253.767,5,990.693,0.294084,0.142857,14.007,5,1036.56,0.289715,1.08095,22.0564,5,1025.21,0.0982228,1.86706,71.4443,4,1565.79,0.28635,5.55397,129.535,5,
5080.21,0.17349,100,1073.71,4,1617.61,0.172512,20.0357,227.017,4,593.055,0.156667,0.142857,12.358,4,775.134,0.181294,1.04861,19.7483,4,1146.21,0.210738,1.2414,37.1173,6,872.148,0.174754,2.44643,41.784,4,
2284.21,0,100,382.003,3,1335.99,0,20.0357,75.012,3,1150.47,0,0.142857,3.47967,3,1169.38,0,1.14286,6.579,3,1260.49,0,6.38095,47.239,3,1214.12,0,5.17857,31.7713,3,
5191.14,0.33522,100,1160.74,4,2093.2,0.347307,20.0357,236.19,5,985.042,0.331216,0.142857,12.6882,5,1051.25,0.348316,1.21508,27.6828,5,1015.13,0.13311,2.69048,68.7708,4,1650.77,0.338412,8.46508,146.609,5,
4981.73,0.209325,100,1065.16,4,1604.8,0.210176,20.0357,220.899,4,879.972,0.36908,0.142857,7.5758,5,789.498,0.214812,1.04067,17.4463,4,539.81,0.190508,0.617063,21.2567,4,1010.01,0.211467,3.23909,73.3667,4,
3016.45,0.0112761,100,707.05,3,1345.28,0.00960644,20.0357,153.624,3,893.75,0.352827,0.142857,7.0182,5,664.269,0.0888887,1.13624,22.1147,3,967.712,0.000717212,1.44048,28.7357,3,1084.55,0.0304297,4.13294,59.734,3,
5092.85,0.135621,100,1085.93,4,1629.54,0.137898,20.0357,224.629,4,881.15,0.354605,0.142857,10.8062,5,787.283,0.140246,1.04365,17.4453,4,1120.12,0,1.01587,8.56067,3,925.567,0.136752,2.71726,57.5107,4,
6245.88,0.282079,100,1078.67,5,2022.33,0.283638,20.0357,229.885,5,899.235,0.30347,0.142857,7.5304,5,1035.77,0.259745,1.13571,23.3716,5,570.858,0.236694,0.834325,27.9445,4,1300.1,0.285773,3.61746,98.8612,5,
6084.35,0.351856,100,1052.57,5,1936.05,0.353724,20.0357,227.409,5,914.481,0.273711,0.142857,13.7676,5,910.971,0.357092,1.12143,21.4434,5,934.209,0.290006,0.51746,21.7532,5,1294.94,0.352906,5.32857,95.6972,5,
2229.75,0,100,370.38,3,1315.84,0.00445217,20.0357,158.997,3,693.379,0.400369,0.142857,16.378,5,889.648,0.00358912,1.0873,12.722,3,1015.08,0.00238636,4.06944,66.3893,3,766.339,0.0101911,4.63294,64.2723,3,
5047.72,0.163013,100,1071.79,4,1673.74,0.161693,20.0357,232.389,4,599.689,0.146104,0.142857,14.0235,4,811.979,0.169786,1.05258,17.716,4,1153.77,0.235821,1.08929,35.733,6,831.873,0.16399,1.85516,32.122,4,
6161.48,0.305604,100,1069.18,5,1954.04,0.306787,20.0357,225.507,5,1049.48,0.40265,0.142857,7.77633,6,908.589,0.309543,1.06349,18.5436,5,938.046,0.329458,0.550794,19.0652,5,1117.54,0.308636,3.37143,63.7578,5,
7721.07,0.310259,100,1099.63,6,2460.34,0.333413,20.0357,229.195,6,1062.94,0.305064,0.142857,11.3097,6,1208.69,0.34493,1.0787,20.6253,6,982.398,0.00178543,0.617725,26.234,3,1549.54,0.315944,3.66534,77.2375,6,
6622.68,0.311242,100,1157.4,5,2067.61,0.312045,20.0357,247.341,5,911.797,0.31306,0.142857,12.1298,5,988.18,0.311593,1.28571,31.3464,5,591.335,0.212406,0.679563,26.331,4,1381.22,0.313437,4.34683,113.888,5,
2285.35,0,100,384.765,3,1590.51,0.00258133,20.0357,159.184,3,840.006,0.018065,0.142857,5.14133,3,969.182,0.0175239,1.15873,15.3957,3,1370.58,2.93386e-05,8.10913,127.044,3,1322.66,0.00279486,7.31746,83.334,3,
5264.24,0.440687,100,1123.73,4,1772.14,0.000781821,20.0357,172.614,3,1231.06,0,0.142857,3.38033,3,1241.44,0,1.09921,6.799,3,1068.88,0.00368186,1.49405,42.8177,3,1244.1,0.440815,5.53274,123.156,4,
6334.91,0.244003,100,1078.46,5,2090.16,0.244753,20.0357,230.164,5,1005.08,0.241021,0.142857,12.8882,5,1038.51,0.246329,1.05238,20.409,5,1221.03,0.307783,1.14616,40.2723,6,1235.38,0.244342,2.3619,58.6468,5,
